bike_number,rider_name,class,season,home_country,motorcycle,team,races_participated,wins,podium,pole,fastest_lap,points,placed,world_championships
1,Jorge Martin,Moto3,2015,Spain,Mahindra,Mapfre Team Mahindra,18,0,0,0,0,45,17,0
1,Jorge Martin,Moto3,2016,Spain,Mahindra,Pull & Bear Aspar Mahindra Team,16,0,1,0,0,72,16,0
1,Jorge Martin,Moto3,2017,Spain,Honda,Del Conca Gresini Moto3,16,1,9,9,2,196,4,0
1,Jorge Martin,Moto3,2018,Spain,Honda,Del Conca Gresini Moto3,17,7,10,11,3,260,1,1
1,Jorge Martin,Moto2,2019,Spain,KTM,Red Bull KTM Ajo,19,0,2,0,1,94,11,0
1,Jorge Martin,Moto2,2020,Spain,Kalex,Red Bull KTM Ajo,13,2,6,1,2,160,5,0
1,Jorge Martin,MotoGP,2021,Spain,Ducati,Pramac Racing,14,1,4,4,0,111,9,0
1,Jorge Martin,MotoGP,2022,Spain,Ducati,Pramac Racing,20,0,4,5,2,152,9,0
1,Jorge Martin,MotoGP,2023,Spain,Ducati,Prima Pramac Racing,20,4,8,4,2,428,2,0
1,Jorge Martin,MotoGP,2024,Spain,Ducati,Prima Pramac Racing,20,3,16,7,2,508,1,1
1,Jorge Martin,MotoGP,2025,Spain,Aprilia,Aprilia Racing,0,0,0,0,0,0,0,0
5,Johann Zarco,125cc,2009,France,Aprilia,WTR San Marino Team,16,0,0,0,0,32,20,0
5,Johann Zarco,125cc,2010,France,Aprilia,WTR San Marino Team,17,0,0,0,1,77,11,0
5,Johann Zarco,125cc,2011,France,Derbi,Avant-AirAsia-Ajo,17,1,11,4,4,262,2,0
5,Johann Zarco,Moto2,2012,France,Motobi,JiR Moto2,17,0,0,0,0,95,10,0
5,Johann Zarco,Moto2,2013,France,Suter,Came IodaRacing Project,17,0,2,0,2,141,9,0
5,Johann Zarco,Moto2,2014,France,Caterham Suter,AirAsia Caterham,18,0,4,1,0,146,6,0
5,Johann Zarco,Moto2,2015,France,Kalex,Ajo Motorsport,18,8,14,7,1,352,1,1
5,Johann Zarco,Moto2,2016,France,Kalex,Ajo Motorsport,18,7,10,7,4,276,1,1
5,Johann Zarco,MotoGP,2017,France,Yamaha,Monster Yamaha Tech3,18,0,3,2,4,174,6,0
5,Johann Zarco,MotoGP,2018,France,Yamaha,Monster Yamaha Tech3,18,0,3,2,0,158,6,0
5,Johann Zarco,MotoGP,2019,France,KTM,Red Bull KTM Factory Racing,13,0,0,0,0,27,18,0
5,Johann Zarco,MotoGP,2019,France,Honda,LCR Honda Idemitsu,3,0,0,0,0,3,18,0
5,Johann Zarco,MotoGP,2020,France,Ducati,Avintia Esponsorama Racing,14,0,1,1,1,77,13,0
5,Johann Zarco,MotoGP,2021,France,Ducati,Pramac Racing,18,0,4,1,2,173,5,0
5,Johann Zarco,MotoGP,2022,France,Ducati,Pramac Racing,20,0,4,2,2,166,8,0
5,Johann Zarco,MotoGP,2023,France,Ducati,Prima Pramac Racing,20,1,6,0,2,225,5,0
5,Johann Zarco,MotoGP,2024,France,Honda,Castrol Honda LCR,20,0,0,0,0,55,17,0
5,Johann Zarco,MotoGP,2025,France,Honda,Castrol Honda LCR,1,0,0,0,0,9,8,0
10,Luca Marini,Moto3,2013,Italy,FTR Honda,Twelve Racing,1,0,0,0,0,0,0,0
10,Luca Marini,Moto2,2015,Italy,Kalex,Pons Racing Junior Team,1,0,0,0,0,0,0,0
10,Luca Marini,Moto2,2016,Italy,Kalex,Forward Racing Team,18,0,0,0,1,34,23,0
10,Luca Marini,Moto2,2017,Italy,Kalex,Forward Racing Team,16,0,0,0,0,59,15,0
10,Luca Marini,Moto2,2018,Italy,Kalex,Sky Racing Team VR46,18,1,5,2,1,147,7,0
10,Luca Marini,Moto2,2019,Italy,Kalex,Sky Racing Team VR46,19,2,4,1,2,190,6,0
10,Luca Marini,Moto2,2020,Italy,Kalex,Sky Racing Team VR46,15,3,6,2,1,196,2,0
10,Luca Marini,MotoGP,2021,Italy,Ducati,Sky VR46 Avintia,18,0,0,0,0,41,19,0
10,Luca Marini,MotoGP,2022,Italy,Ducati,Mooney VR46 Racing Team,20,0,0,0,1,120,12,0
10,Luca Marini,MotoGP,2023,Italy,Ducati,Mooney VR46 Racing Team,18,0,2,2,0,201,8,0
10,Luca Marini,MotoGP,2024,Italy,Honda,Repsol Honda Team,19,0,0,0,0,14,22,0
10,Luca Marini,MotoGP,2025,Italy,Honda,Honda HRC Castrol,0,0,0,0,0,0,0,0
12,Maverick Vinales,125cc,2011,Spain,Aprilia RSA 125,Blusens by Paris Hilton Racing,17,4,9,3,3,248,3,0
12,Maverick Vinales,Moto3,2012,Spain,FTR M312,Blusens Avintia,15,5,7,5,1,207,3,0
12,Maverick Vinales,Moto3,2013,Spain,KTM RC250GP,Team Calvo,17,3,15,2,3,323,1,1
12,Maverick Vinales,Moto2,2014,Spain,Kalex Moto2,Paginas Amarillas HP 40,18,4,9,1,5,274,3,0
12,Maverick Vinales,MotoGP,2015,Spain,Suzuki GSX-RR,Team Suzuki Ecstar,18,0,0,0,0,97,12,0
12,Maverick Vinales,MotoGP,2016,Spain,Suzuki GSX-RR,Team Suzuki Ecstar,18,1,4,0,2,202,4,0
12,Maverick Vinales,MotoGP,2017,Spain,Yamaha YZR-M1,Movistar Yamaha MotoGP,18,3,7,5,4,230,3,0
12,Maverick Vinales,MotoGP,2018,Spain,Yamaha YZR-M1,Movistar Yamaha MotoGP,18,1,5,1,2,193,4,0
12,Maverick Vinales,MotoGP,2019,Spain,Yamaha YZR-M1,Monster Energy Yamaha MotoGP,19,2,7,3,1,211,3,0
12,Maverick Vinales,MotoGP,2020,Spain,Yamaha YZR-M1,Monster Energy Yamaha MotoGP,14,1,3,3,0,132,6,0
12,Maverick Vinales,MotoGP,2021,Spain,Yamaha YZR-M1,Monster Energy Yamaha MotoGP,10,1,2,1,1,95,10,0
12,Maverick Vinales,MotoGP,2021,Spain,Aprilia RS-GP,Aprilia Racing Team Gresini,5,0,0,0,0,11,10,0
12,Maverick Vinales,MotoGP,2022,Spain,Aprilia RS-GP,Aprilia Racing,20,0,3,0,0,122,11,0
12,Maverick Vinales,MotoGP,2023,Spain,Aprilia RS-GP,Aprilia Racing,20,0,3,1,1,204,7,0
12,Maverick Vinales,MotoGP,2024,Spain,Aprilia RS-GP,Aprilia Racing,20,1,1,1,1,190,7,0
12,Maverick Vinales,MotoGP,2025,Spain,KTM RC16,Red Bull KTM Tech3,1,0,0,0,0,0,18,0
20,Fabio Quartararo,Moto3,2015,France,Honda,"Estrella Galicia 0,0",13,0,2,2,0,92,10,0
20,Fabio Quartararo,Moto3,2016,France,KTM,Leopard Racing,18,0,0,0,0,83,13,0
20,Fabio Quartararo,Moto2,2017,France,Kalex,Pons HP40,18,0,0,0,0,64,13,0
20,Fabio Quartararo,Moto2,2018,France,Speed Up,Speed Up Racing,18,1,2,1,1,138,10,0
20,Fabio Quartararo,MotoGP,2019,France,Yamaha,Petronas Yamaha SRT,19,0,7,6,2,192,5,0
20,Fabio Quartararo,MotoGP,2020,France,Yamaha,Petronas Yamaha SRT,14,3,3,4,2,127,8,0
20,Fabio Quartararo,MotoGP,2021,France,Yamaha,Monster Energy Yamaha MotoGP,18,5,10,5,5,278,1,1
20,Fabio Quartararo,MotoGP,2022,France,Yamaha,Monster Energy Yamaha MotoGP,20,3,8,1,4,248,2,0
20,Fabio Quartararo,MotoGP,2023,France,Yamaha,Monster Energy Yamaha MotoGP,20,0,3,0,0,172,10,0
20,Fabio Quartararo,MotoGP,2024,France,Yamaha,Monster Energy Yamaha MotoGP Team,20,0,0,0,0,113,13,0
20,Fabio Quartararo,MotoGP,2025,France,Yamaha,Monster Energy Yamaha MotoGP Team,1,0,0,0,0,4,13,0
21,Franco Morbidelli,Moto2,2013,Italy,Suter,Federal Oil Gresini Moto2,3,0,0,0,0,0,0,0
21,Franco Morbidelli,Moto2,2014,Italy,Kalex,Italtrans Racing Team,18,0,0,0,0,75,11,0
21,Franco Morbidelli,Moto2,2015,Italy,Kalex,Italtrans Racing Team,14,0,1,0,2,90,10,0
21,Franco Morbidelli,Moto2,2016,Italy,Kalex,"EG 0,0 Marc VDS",18,0,8,0,3,213,4,0
21,Franco Morbidelli,Moto2,2017,Italy,Kalex,"EG 0,0 Marc VDS",18,8,12,6,8,308,1,1
21,Franco Morbidelli,MotoGP,2018,Italy,Honda,"EG 0,0 Marc VDS",16,0,0,0,0,50,15,0
21,Franco Morbidelli,MotoGP,2019,Italy,Yamaha,Petronas Yamaha SRT,19,0,0,0,0,115,10,0
21,Franco Morbidelli,MotoGP,2020,Italy,Yamaha,Petronas Yamaha SRT,14,3,5,2,1,158,2,0
21,Franco Morbidelli,MotoGP,2021,Italy,Yamaha,Petronas Yamaha SRT,8,0,1,0,0,40,17,0
21,Franco Morbidelli,MotoGP,2021,Italy,Yamaha,Monster Energy Yamaha MotoGP,5,0,0,0,0,7,17,0
21,Franco Morbidelli,MotoGP,2022,Italy,Yamaha,Monster Energy Yamaha MotoGP,20,0,0,0,0,42,19,0
21,Franco Morbidelli,MotoGP,2023,Italy,Yamaha,Monster Energy Yamaha MotoGP,20,0,0,0,0,102,13,0
21,Franco Morbidelli,MotoGP,2024,Italy,Ducati,Prima Pramac Racing,20,0,0,0,0,173,9,0
21,Franco Morbidelli,MotoGP,2025,Italy,Ducati,Pertamina Enduro VR46 Racing Team,0,0,0,0,0,0,0,0
23,Enea Bastianini,Moto3,2014,Italy,KTM,Junior Team GO&FUN Moto3,18,0,3,0,0,127,9,0
23,Enea Bastianini,Moto3,2015,Italy,Honda,Gresini Racing Team Moto3,18,1,6,4,2,207,3,0
23,Enea Bastianini,Moto3,2016,Italy,Honda,Gresini Racing Team Moto3,16,1,6,3,0,177,2,0
23,Enea Bastianini,Moto3,2017,Italy,Honda,"Estrella Galicia 0,0",18,0,3,1,0,141,6,0
23,Enea Bastianini,Moto3,2018,Italy,Honda,Leopard Racing,18,1,6,1,1,177,4,0
23,Enea Bastianini,Moto2,2019,Italy,Kalex,Italtrans Racing Team,18,0,1,0,0,97,10,0
23,Enea Bastianini,Moto2,2020,Italy,Kalex,Italtrans Racing Team,15,3,7,0,2,205,1,1
23,Enea Bastianini,MotoGP,2021,Italy,Ducati,Avintia Esponsorama Racing,18,0,2,0,1,102,11,0
23,Enea Bastianini,MotoGP,2022,Italy,Ducati,Gresini Racing MotoGP,20,4,6,1,3,219,3,0
23,Enea Bastianini,MotoGP,2023,Italy,Ducati,Ducati Lenovo Team,11,1,1,0,2,84,15,0
23,Enea Bastianini,MotoGP,2024,Italy,Ducati,Ducati Lenovo Team,20,2,9,1,2,386,4,0
23,Enea Bastianini,MotoGP,2025,Italy,KTM,Red Bull KTM Tech3,1,0,0,0,0,7,9,0
25,Raul Fernandez,Moto3,2016,Spain,KTM,MH6 Team,1,0,0,0,0,5,32,0
25,Raul Fernandez,Moto3,2017,Spain,Mahindra,Aspar Team,3,0,0,0,0,0,40,0
25,Raul Fernandez,Moto3,2018,Spain,KTM,Ángel Nieto Team Moto3,3,0,0,0,0,9,28,0
25,Raul Fernandez,Moto3,2018,Spain,KTM,Red Bull KTM Ajo,1,0,0,0,0,7,28,0
25,Raul Fernandez,Moto3,2019,Spain,KTM,Aspar Team,19,0,0,0,0,60,21,0
25,Raul Fernandez,Moto3,2020,Spain,KTM,Red Bull KTM Ajo,15,2,4,6,1,159,4,0
25,Raul Fernandez,Moto2,2021,Spain,Kalex,Red Bull KTM Ajo,18,8,12,7,7,307,2,0
25,Raul Fernandez,MotoGP,2022,Spain,KTM,Tech3 KTM Factory Racing,18,0,0,0,0,14,22,0
25,Raul Fernandez,MotoGP,2023,Spain,Aprilia,CryptoData RNF MotoGP Team,19,0,0,0,0,51,20,0
25,Raul Fernandez,MotoGP,2024,Spain,Aprilia,Trackhouse Racing,20,0,0,0,0,66,16,0
25,Raul Fernandez,MotoGP,2025,Spain,Aprilia,Trackhouse MotoGP Team,0,0,0,0,0,0,0,0
33,Brad Binder,125cc,2011,South Africa,Aprilia,RW Racing GP,5,0,0,0,0,0,0,0
33,Brad Binder,125cc,2011,South Africa,Aprilia,Andalucía Banca Cívica,5,0,0,0,0,0,0,0
33,Brad Binder,Moto3,2012,South Africa,Kalex KTM,RW Racing GP,17,0,0,0,0,24,21,0
33,Brad Binder,Moto3,2013,South Africa,Suter Honda,Ambrogio Racing,11,0,0,0,0,46,13,0
33,Brad Binder,Moto3,2013,South Africa,Mahindra,Ambrogio Racing,6,0,0,0,0,20,13,0
33,Brad Binder,Moto3,2014,South Africa,Mahindra,Ambrogio Racing,18,0,2,0,1,109,11,0
33,Brad Binder,Moto3,2015,South Africa,KTM,Red Bull KTM Ajo,18,0,4,0,3,159,6,0
33,Brad Binder,Moto3,2016,South Africa,KTM,Red Bull KTM Ajo,18,7,14,6,3,319,1,1
33,Brad Binder,Moto2,2017,South Africa,KTM,Red Bull KTM Ajo,15,0,3,0,2,125,8,0
33,Brad Binder,Moto2,2018,South Africa,KTM,Red Bull KTM Ajo,18,3,3,1,1,201,3,0
33,Brad Binder,Moto2,2019,South Africa,KTM,Red Bull KTM Ajo,19,5,9,0,0,259,2,0
33,Brad Binder,MotoGP,2020,South Africa,KTM,Red Bull KTM Factory Racing,14,1,1,0,2,87,11,0
33,Brad Binder,MotoGP,2021,South Africa,KTM,Red Bull KTM Factory Racing,18,1,1,0,0,151,6,0
33,Brad Binder,MotoGP,2022,South Africa,KTM,Red Bull KTM Factory Racing,20,0,3,0,1,188,6,0
33,Brad Binder,MotoGP,2023,South Africa,KTM,Red Bull KTM Factory Racing,20,0,5,0,1,293,4,0
33,Brad Binder,MotoGP,2024,South Africa,KTM,Red Bull KTM Factory Racing,18,0,1,0,0,206,6,0
33,Brad Binder,MotoGP,2025,South Africa,KTM,Red Bull KTM Factory Racing,0,0,0,0,0,0,0,0
35,Somkiat Chantra,Moto3,2018,Thailand,Honda,AP Honda Racing Thailand,1,0,0,0,0,7,33,0
35,Somkiat Chantra,Moto2,2019,Thailand,Kalex,Idemitsu Honda Team Asia,16,0,0,0,0,23,21,0
35,Somkiat Chantra,Moto2,2020,Thailand,Kalex,Idemitsu Honda Team Asia,15,0,0,0,0,10,25,0
35,Somkiat Chantra,Moto2,2021,Thailand,Kalex,Idemitsu Honda Team Asia,17,0,0,0,1,37,18,0
35,Somkiat Chantra,Moto2,2022,Thailand,Kalex,Idemitsu Honda Team Asia,19,1,4,1,1,128,10,0
35,Somkiat Chantra,Moto2,2023,Thailand,Kalex,Idemitsu Honda Team Asia,20,1,2,1,1,173,6,0
35,Somkiat Chantra,Moto2,2024,Thailand,Kalex,Idemitsu Honda Team Asia,18,0,0,0,0,104,12,0
35,Somkiat Chantra,MotoGP,2025,Thailand,Honda,LCR Honda Idemitsu,0,0,0,0,0,0,0,0
36,Joan Mir,Moto3,2015,Spain,Honda,Leopard Racing,1,0,0,0,0,0,0,0
36,Joan Mir,Moto3,2016,Spain,KTM,Leopard Racing,18,1,3,1,2,144,5,0
36,Joan Mir,Moto3,2017,Spain,Honda,Leopard Racing,18,10,13,1,3,341,1,1
36,Joan Mir,Moto2,2018,Spain,Kalex,"EG 0,0 Marc VDS",18,0,4,0,1,155,6,0
36,Joan Mir,MotoGP,2019,Spain,Suzuki,Team Suzuki Ecstar,17,0,0,0,0,92,12,0
