bike_number,rider_name,class,season,home_country,motorcycle,team,races_participated,wins,podium,pole,fastest_lap,points,placed,world_championships
36,Joan Mir,MotoGP,2020,Spain,Suzuki,Team Suzuki Ecstar,14,1,7,0,0,171,1,1
36,Joan Mir,MotoGP,2021,Spain,Suzuki,Team Suzuki Ecstar,18,0,6,0,1,208,3,0
36,Joan Mir,MotoGP,2022,Spain,Suzuki,Team Suzuki Ecstar,16,0,0,0,0,87,15,0
36,Joan Mir,MotoGP,2023,Spain,Honda,Repsol Honda Team,15,0,0,0,0,26,22,0
36,Joan Mir,MotoGP,2024,Spain,Honda,Repsol Honda Team,19,0,0,0,0,21,21,0
36,Joan Mir,MotoGP,2025,Spain,Honda,Honda HRC Castrol,1,0,0,0,0,1,17,0
37,Pedro Acosta,Moto3,2021,Spain,KTM,Red Bull KTM Ajo,18,6,8,1,1,259,1,1
37,Pedro Acosta,Moto2,2022,Spain,Kalex,Red Bull KTM Ajo,18,3,5,1,1,177,5,0
37,Pedro Acosta,Moto2,2023,Spain,Kalex,Red Bull KTM Ajo,20,7,14,3,8,332,1,1
37,Pedro Acosta,MotoGP,2024,Spain,KTM,Red Bull GasGas Tech3,19,0,5,1,2,215,6,0
37,Pedro Acosta,MotoGP,2025,Spain,KTM,Red Bull KTM Factory Racing,1,0,0,0,0,6,14,0
42,Alex Rins,Moto3,2012,Spain,Suter Honda,"Estrella Galicia 0,0",17,0,1,1,1,141,5,0
42,Alex Rins,Moto3,2013,Spain,KTM,"Estrella Galicia 0,0",17,6,14,8,1,311,2,0
42,Alex Rins,Moto3,2014,Spain,Honda,"Estrella Galicia 0,0",18,2,8,4,3,237,3,0
42,Alex Rins,Moto2,2015,Spain,Kalex,Paginas Amarillas HP 40,18,2,10,3,4,234,2,0
42,Alex Rins,Moto2,2016,Spain,Kalex,Paginas Amarillas HP 40,18,2,7,1,3,214,3,0
42,Alex Rins,MotoGP,2017,Spain,Suzuki,Team Suzuki Ecstar,13,0,0,0,0,59,16,0
42,Alex Rins,MotoGP,2018,Spain,Suzuki,Team Suzuki Ecstar,18,0,5,0,1,169,5,0
42,Alex Rins,MotoGP,2019,Spain,Suzuki,Team Suzuki Ecstar,19,2,3,0,1,205,4,0
42,Alex Rins,MotoGP,2020,Spain,Suzuki,Team Suzuki Ecstar,13,1,4,0,2,139,3,0
42,Alex Rins,MotoGP,2021,Spain,Suzuki,Team Suzuki Ecstar,17,0,1,0,1,99,13,0
42,Alex Rins,MotoGP,2022,Spain,Suzuki,Team Suzuki Ecstar,19,2,4,0,1,173,7,0
42,Alex Rins,MotoGP,2023,Spain,Honda,LCR Honda Castrol,7,1,1,0,1,54,19,0
42,Alex Rins,MotoGP,2024,Spain,Yamaha,Monster Energy Yamaha MotoGP Team,17,0,0,0,0,31,18,0
42,Alex Rins,MotoGP,2025,Spain,Yamaha,Monster Energy Yamaha MotoGP,1,0,0,0,0,0,19,0
43,Jack Miller,125cc,2011,Australia,Aprilia,RZT Racing,6,0,0,0,0,0,0,0
43,Jack Miller,125cc,2011,Australia,KTM,Caretta Technology,6,0,0,0,0,0,0,0
43,Jack Miller,Moto3,2012,Australia,Honda,Caretta Technology,14,0,0,0,0,17,23,0
43,Jack Miller,Moto3,2013,Australia,FTR Honda,Caretta Technology – RTG,17,0,0,0,0,110,7,0
43,Jack Miller,Moto3,2014,Australia,KTM,Red Bull KTM Ajo,18,6,10,8,1,276,2,0
43,Jack Miller,MotoGP,2015,Australia,Honda,CWM LCR Honda,18,0,0,0,0,17,19,0
43,Jack Miller,MotoGP,2016,Australia,Honda,"EG 0,0 Marc VDS",13,1,1,0,0,57,18,0
43,Jack Miller,MotoGP,2017,Australia,Honda,"EG 0,0 Marc VDS",17,0,0,0,0,82,11,0
43,Jack Miller,MotoGP,2018,Australia,Ducati,Pramac Racing,18,0,0,1,0,91,13,0
43,Jack Miller,MotoGP,2019,Australia,Ducati,Pramac Racing,19,0,5,0,1,165,8,0
43,Jack Miller,MotoGP,2020,Australia,Ducati,Pramac Racing,14,0,4,0,1,132,7,0
43,Jack Miller,MotoGP,2021,Australia,Ducati,Ducati Lenovo Team,18,2,5,0,0,181,4,0
43,Jack Miller,MotoGP,2022,Australia,Ducati,Ducati Lenovo Team,20,1,7,1,1,189,5,0
43,Jack Miller,MotoGP,2023,Australia,KTM,Red Bull KTM Factory Racing,20,0,1,0,0,163,11,0
43,Jack Miller,MotoGP,2024,Australia,KTM,Red Bull KTM Factory Racing,19,0,0,0,0,87,14,0
43,Jack Miller,MotoGP,2025,Australia,Yamaha,Prima Pramac Yamaha MotoGP,1,0,0,0,0,5,11,0
49,Fabio Di Giannantonio,Moto3,2015,Italy,Honda,Gresini Racing Moto3,1,0,0,0,0,0,0,0
49,Fabio Di Giannantonio,Moto3,2016,Italy,Honda,Gresini Racing Moto3,18,0,3,0,0,134,6,0
49,Fabio Di Giannantonio,Moto3,2017,Italy,Honda,Del Conca Gresini Moto3,18,0,5,0,2,153,5,0
49,Fabio Di Giannantonio,Moto3,2018,Italy,Honda,Del Conca Gresini Moto3,18,2,6,0,1,218,2,0
49,Fabio Di Giannantonio,Moto2,2019,Italy,Speed Up,Speed Up Racing,19,0,2,1,0,108,9,0
49,Fabio Di Giannantonio,Moto2,2020,Italy,Speed Up,Speed Up Racing,15,0,2,0,0,65,15,0
49,Fabio Di Giannantonio,Moto2,2021,Italy,Kalex,Federal Oil Gresini Moto2,18,1,4,0,0,161,7,0
49,Fabio Di Giannantonio,MotoGP,2022,Italy,Ducati,Gresini Racing MotoGP,20,0,0,1,0,24,20,0
49,Fabio Di Giannantonio,MotoGP,2023,Italy,Ducati,Gresini Racing MotoGP,20,1,2,0,0,151,12,0
49,Fabio Di Giannantonio,MotoGP,2024,Italy,Ducati,Pertamina Enduro VR46 Racing Team,17,0,0,0,1,165,10,0
49,Fabio Di Giannantonio,MotoGP,2025,Italy,Ducati,Pertamina Enduro VR46 Racing Team,1,0,0,0,0,6,10,0
54,Fermin Aldeguer,MotoE,2021,Spain,Energica,OpenBank Aspar Team,7,0,0,1,0,51,9,0
54,Fermin Aldeguer,Moto2,2021,Spain,Boscoscuro,Speed Up Racing,8,0,0,0,0,13,25,0
54,Fermin Aldeguer,Moto2,2022,Spain,Boscoscuro,Speed Up Racing,20,0,0,2,0,80,15,0
54,Fermin Aldeguer,Moto2,2023,Spain,Boscoscuro,Speed Up Racing,20,5,7,3,4,212,3,0
54,Fermin Aldeguer,Moto2,2024,Spain,Boscoscuro,Speed Up Racing,19,3,5,3,2,182,5,0
54,Fermin Aldeguer,MotoGP,2025,Spain,Ducati,BK8 Gresini Racing MotoGP,0,0,0,0,0,0,0,0
63,Francesco Bagnaia,Moto3,2013,Italy,FTR Honda,San Carlo Team Italia,17,0,0,0,0,0,0,0
63,Francesco Bagnaia,Moto3,2014,Italy,KTM,Sky Racing Team VR46,16,0,0,0,1,50,16,0
63,Francesco Bagnaia,Moto3,2015,Italy,Mahindra,Mapfre Team Mahindra,18,0,1,0,1,76,14,0
63,Francesco Bagnaia,Moto3,2016,Italy,Mahindra,Pull & Bear Aspar Mahindra Team,18,2,6,1,0,145,4,0
63,Francesco Bagnaia,Moto2,2017,Italy,Kalex,Sky Racing Team VR46,18,0,4,0,0,174,5,0
63,Francesco Bagnaia,Moto2,2018,Italy,Kalex,Sky Racing Team VR46,18,8,12,6,3,306,1,1
63,Francesco Bagnaia,MotoGP,2019,Italy,Ducati,Pramac Racing,18,0,0,0,0,54,15,0
63,Francesco Bagnaia,MotoGP,2020,Italy,Ducati,Pramac Racing,11,0,1,0,2,47,16,0
63,Francesco Bagnaia,MotoGP,2021,Italy,Ducati,Ducati Lenovo Team,18,4,9,6,4,252,2,0
63,Francesco Bagnaia,MotoGP,2022,Italy,Ducati,Ducati Lenovo Team,20,7,10,5,3,265,1,1
63,Francesco Bagnaia,MotoGP,2023,Italy,Ducati,Ducati Lenovo Team,19,7,15,7,3,467,1,1
63,Francesco Bagnaia,MotoGP,2024,Italy,Ducati,Ducati Lenovo Team,20,11,16,6,6,498,2,0
63,Francesco Bagnaia,MotoGP,2025,Italy,Ducati,Ducati Lenovo Team,1,0,1,0,0,23,3,0
72,Marco Bezzecchi,Moto3,2015,Italy,Mahindra,San Carlo Team Italia,2,0,0,0,0,0,0,0
72,Marco Bezzecchi,Moto3,2015,Italy,Mahindra,Minimoto Portomaggiore,2,0,0,0,0,0,0,0
72,Marco Bezzecchi,Moto3,2016,Italy,Mahindra,Mahindra Racing,2,0,0,0,0,0,47,0
72,Marco Bezzecchi,Moto3,2017,Italy,Mahindra,CIP,18,0,1,0,0,20,23,0
72,Marco Bezzecchi,Moto3,2018,Italy,KTM,Redox PrüstelGP,18,3,9,2,0,214,3,0
72,Marco Bezzecchi,Moto2,2019,Italy,KTM,Red Bull KTM Tech3,19,0,0,0,0,17,23,0
72,Marco Bezzecchi,Moto2,2020,Italy,Kalex,Sky Racing Team VR46,15,2,7,1,1,184,4,0
72,Marco Bezzecchi,Moto2,2021,Italy,Kalex,Sky Racing Team VR46,18,1,7,1,0,214,3,0
72,Marco Bezzecchi,MotoGP,2022,Italy,Ducati,Mooney VR46 Racing Team,20,0,1,1,0,111,14,0
72,Marco Bezzecchi,MotoGP,2023,Italy,Ducati,Mooney VR46 Racing Team,20,3,7,3,4,329,3,0
72,Marco Bezzecchi,MotoGP,2024,Italy,Ducati,Pertamina Enduro VR46 Racing Team,20,0,1,0,0,153,12,0
72,Marco Bezzecchi,MotoGP,2025,Italy,Aprilia,Aprilia Racing,1,0,0,0,0,10,6,0
73,Alex Marquez,Moto3,2012,Spain,Suter Honda,"Estrella Galicia 0,0",11,0,0,0,1,27,20,0
73,Alex Marquez,Moto3,2012,Spain,Suter Honda,Ambrogio Next Racing,11,0,0,0,1,27,20,0
73,Alex Marquez,Moto3,2013,Spain,KTM,"Estrella Galicia 0,0",17,1,5,0,3,213,4,0
73,Alex Marquez,Moto3,2014,Spain,Honda,"Estrella Galicia 0,0",18,3,10,3,3,278,1,1
73,Alex Marquez,Moto2,2015,Spain,Kalex,"EG 0,0 Marc VDS",18,0,0,0,0,73,14,0
73,Alex Marquez,Moto2,2016,Spain,Kalex,"EG 0,0 Marc VDS",17,0,1,0,0,69,13,0
73,Alex Marquez,Moto2,2017,Spain,Kalex,"EG 0,0 Marc VDS",17,3,6,3,3,201,4,0
73,Alex Marquez,Moto2,2018,Spain,Kalex,"EG 0,0 Marc VDS",18,0,6,3,2,173,4,0
73,Alex Marquez,Moto2,2019,Spain,Kalex,"EG 0,0 Marc VDS",19,5,10,6,5,262,1,1
73,Alex Marquez,MotoGP,2020,Spain,Honda,Repsol Honda Team,14,0,2,0,0,74,14,0
73,Alex Marquez,MotoGP,2021,Spain,Honda,LCR Honda Castrol,18,0,0,0,0,70,16,0
73,Alex Marquez,MotoGP,2022,Spain,Honda,LCR Honda Castrol,20,0,0,0,0,50,17,0
73,Alex Marquez,MotoGP,2023,Spain,Ducati,Gresini Racing MotoGP,17,0,2,1,2,177,9,0
73,Alex Marquez,MotoGP,2024,Spain,Ducati,Gresini Racing MotoGP,20,0,1,0,0,173,8,0
73,Alex Marquez,MotoGP,2025,Spain,Ducati,BK8 Gresini Racing MotoGP,1,0,1,0,0,29,2,0
79,Ai Ogura,Moto3,2018,Japan,Honda,Asia Talent Team,4,0,0,0,0,1,36,0
79,Ai Ogura,Moto3,2019,Japan,Honda,Honda Team Asia,18,0,1,0,1,109,10,0
79,Ai Ogura,Moto3,2020,Japan,Honda,Honda Team Asia,15,0,7,1,1,170,3,0
79,Ai Ogura,Moto2,2021,Japan,Kalex,Idemitsu Honda Team Asia,17,0,1,0,1,120,8,0
79,Ai Ogura,Moto2,2022,Japan,Kalex,Idemitsu Honda Team Asia,20,3,7,3,1,242,2,0
79,Ai Ogura,Moto2,2023,Japan,Kalex,Idemitsu Honda Team Asia,18,0,3,0,0,137,9,0
79,Ai Ogura,Moto2,2024,Japan,Boscoscuro,MT Helmets – MSi,19,3,8,2,1,274,1,0
79,Ai Ogura,MotoGP,2025,Japan,Aprilia,Trackhouse MotoGP Team,1,0,0,0,0,17,5,0
88,Miguel Oliveira,125cc,2011,Portugal,Aprilia,Andalucia Banca Civica,11,0,0,0,0,44,14,0
88,Miguel Oliveira,Moto3,2012,Portugal,Suter Honda,"Estrella Galicia 0,0",17,0,2,0,0,114,8,0
88,Miguel Oliveira,Moto3,2013,Portugal,Mahindra,Mahindra Racing,17,0,1,1,3,150,6,0
88,Miguel Oliveira,Moto3,2014,Portugal,Mahindra,Mahindra Racing,17,0,1,0,0,110,10,0
88,Miguel Oliveira,Moto3,2015,Portugal,KTM,Red Bull KTM Ajo,17,6,9,1,3,254,2,0
88,Miguel Oliveira,Moto2,2016,Portugal,Kalex,Leopard Racing,14,0,0,0,0,36,21,0
88,Miguel Oliveira,Moto2,2017,Portugal,KTM,Red Bull KTM Ajo,18,3,9,2,3,241,3,0
88,Miguel Oliveira,Moto2,2018,Portugal,KTM,Red Bull KTM Ajo,18,3,12,0,1,297,2,0
88,Miguel Oliveira,MotoGP,2019,Portugal,KTM,Red Bull KTM Tech3,16,0,0,0,0,33,17,0
88,Miguel Oliveira,MotoGP,2020,Portugal,KTM,Red Bull KTM Tech3,14,2,2,1,1,125,9,0
88,Miguel Oliveira,MotoGP,2021,Portugal,KTM,Red Bull KTM Factory Racing,18,1,3,0,1,94,14,0
88,Miguel Oliveira,MotoGP,2022,Portugal,KTM,Red Bull KTM Factory Racing,20,2,2,0,0,149,10,0
88,Miguel Oliveira,MotoGP,2023,Portugal,Aprilia,CryptoData RNF MotoGP Team,16,0,0,0,0,76,16,0
88,Miguel Oliveira,MotoGP,2024,Portugal,Aprilia,Trackhouse Racing,15,0,0,0,0,75,15,0
88,Miguel Oliveira,MotoGP,2025,Portugal,Yamaha,Prima Pramac Yamaha MotoGP,0,0,0,0,0,0,0,0
93,Marc Marquez,125cc,2008,Spain,KTM 125 FRR,Repsol KTM 125cc,13,0,1,0,0,63,13,0
93,Marc Marquez,125cc,2009,Spain,KTM 125 FRR,Red Bull KTM Repsol,16,0,1,2,1,94,8,0
93,Marc Marquez,125cc,2010,Spain,Derbi RSA 125,Red Bull Ajo Motorsport,17,10,12,12,8,310,1,1
93,Marc Marquez,Moto2,2011,Spain,Suter MMXI,Team CatalunyaCaixa Repsol,15,7,11,7,2,251,2,0
93,Marc Marquez,Moto2,2012,Spain,Suter MMX2,Team CatalunyaCaixa Repsol,17,9,14,7,5,328,1,1
93,Marc Marquez,MotoGP,2013,Spain,Honda RC213V,Repsol Honda Team,18,6,16,9,11,334,1,1
93,Marc Marquez,MotoGP,2014,Spain,Honda RC213V,Repsol Honda Team,18,13,14,13,12,362,1,1
93,Marc Marquez,MotoGP,2015,Spain,Honda RC213V,Repsol Honda Team,18,5,9,8,7,242,3,0
93,Marc Marquez,MotoGP,2016,Spain,Honda RC213V,Repsol Honda Team,18,5,12,7,4,298,1,1
93,Marc Marquez,MotoGP,2017,Spain,Honda RC213V,Repsol Honda Team,18,6,12,8,3,298,1,1
93,Marc Marquez,MotoGP,2018,Spain,Honda RC213V,Repsol Honda Team,18,9,14,7,7,321,1,1
93,Marc Marquez,MotoGP,2019,Spain,Honda RC213V,Repsol Honda Team,19,12,18,10,12,420,1,1
93,Marc Marquez,MotoGP,2020,Spain,Honda RC213V,Repsol Honda Team,1,0,0,0,1,0,0,0
93,Marc Marquez,MotoGP,2021,Spain,Honda RC213V,Repsol Honda Team,14,3,4,0,2,142,7,0
93,Marc Marquez,MotoGP,2022,Spain,Honda RC213V,Repsol Honda Team,12,0,1,1,0,113,13,0
93,Marc Marquez,MotoGP,2023,Spain,Honda RC213V,Repsol Honda Team,15,0,1,1,0,96,14,0
93,Marc Marquez,MotoGP,2024,Spain,Ducati Desmosedici GP23,Gresini Racing MotoGP,20,3,10,2,4,392,3,0
93,Marc Marquez,MotoGP,2025,Spain,Ducati Desmosedici GP25,Ducati Lenovo Team,1,1,1,1,1,37,1,0
